prompt,name,response
Tell me a bio of Suthida,Suthida," Suthida Vajiralongkorn Na Aiking-ngoen Prakarn is the wife of King Maha Vajiralongkorn. She was born on November 13, 1967 in Bangkok, Thailand as Suriya Phichai Wacharasindu. Her father is Pridiyathorn Devakula and her mother is Somchai Chaimanee. She has one brother named Arthit who is also married to Princess Sirivannavari Nar"
Tell me a bio of Miguel Ángel Félix Gallardo,Miguel Ángel Félix Gallardo," Miguel Ángel Félix Gallardo (born March 19, 1943), is an alleged Mexican drug lord and the founder of the Guadalajara Cartel. He was nicknamed ""El Padrino"" (""The Godfather"") by the media due to his influence in the organization.[1]
"
Tell me a bio of Iggy Azalea,Iggy Azalea," Iggy Azalea is an Australian rapper, singer and songwriter. She first gained popularity in Australia before breaking into the US music scene with her hit single ""Fancy"".
"
Tell me a bio of Fernando da Costa Novaes,Fernando da Costa Novaes," Fernando da Costa Novaes was born in Portugal on December 17, 1883. He studied law at the University of Lisbon and then moved to Brazil where he became involved with the Brazilian Republican Party (PRB). In 1923, he was appointed as the Minister of Justice by President Washington Luís. During his tenure, he worked to modernize the country's legal system and reduce corruption within the judiciary. After leaving office, he continued to work for the PRB until his death in 1945.
"
Tell me a bio of Jan Zamoyski,Jan Zamoyski," Jan III Sobieski was born on September 12, 1566 in Krosno Odrzańskie, Poland. He was the son of King John II Casimir and his first wife Anna Jagiellonka.

He succeeded to the throne at age 13 after his father's death in October 1586. During his reign he fought many battles against the Ottoman Empire under the leadership of Prince Eugene of Savoy. His most famous victory came during the Battle of Vienna in 16"
Tell me a bio of Radhika Apte,Radhika Apte," Radhika Apte is an Indian actress who predominantly works in Hindi films. She made her acting debut with the Bengali film Sarah-Jane, and then appeared in several critically acclaimed Marathi and Kannada language films before making her Bollywood debut with the 2014 romantic comedy–dramaapted ""Phobia"". Her first commercial success was as a lead actress in the 2017 horror thriller film ""Krishna Cottage"", which earned her critical acclaim and became one of the highest"
Tell me a bio of David Galloway (writer),David Galloway (writer)," David Galloway is an American writer who has written several books on the history of science fiction. He was born in New York City and grew up reading science fiction, which inspired him to become a writer himself.
"
Tell me a bio of Cheyenne Brando,Cheyenne Brando," Cheyenne Brando was born in the United States and is an American actress. She has appeared in numerous films, including ""The Godfather"" (1972) as Connie Corleone's daughter Mary, and ""Apocalypse Now"" (1979).

Brando began her career at age 16 on Broadway, where she played the lead role in ""A Streetcar Named Desire."" After making her film debut in 1969, she quickly established herself as one of Hollywood's leading actresses,"
Tell me a bio of Mihai Eminescu,Mihai Eminescu," Romanian poet and writer, Mihail Eminescu was born on February 8th 1871 in the village of Sibiu. He spent his childhood years there before moving to Bucharest where he finished high school at the ""Școala Nouă"" (New School). After graduating from high school, Eminescu continued his studies at the University of Vienna, but soon dropped out due to health issues.
"
Tell me a bio of John Atkinson Grimshaw,John Atkinson Grimshaw," John Atkinson Grimshaw (1836-1893) was an English landscape painter and etcher. He is best known for his atmospheric paintings of rural scenes in Yorkshire, including the North York Moors.
"
Tell me a bio of Maja Jager,Maja Jager," Maja Jager is a German politician who was elected to the Bundestag in 2017. She has served as parliamentary state secretary for family affairs and senior citizens' issues since 2022.
"
Tell me a bio of Richie Dorman,Richie Dorman," Richard ""Richie"" Dorman is an American professional baseball pitcher for the San Diego Padres organization. He previously played in Major League Baseball (MLB) for the Seattle Mariners and Los Angeles Angels, both in 2021.

Dorman attended Westwood High School in Chattanooga, Tennessee, where he was named to the All-Region team as a senior after going 7–1 with a 1.40 ERA and 93 strikeouts over 61 innings pitched.[2] He committed"
Tell me a bio of Braulio Lara,Braulio Lara," Braulio Lara was born in Mexico City on November 19, 1953. He is an American-Mexican writer and journalist who has written for publications such as The New York Times Magazine, Rolling Stone, Vanity Fair, Harper's Bazaar, Esquire, and GQ.
"
Tell me a bio of Katherine Ryan,Katherine Ryan," Katherine Ryan was born on February 13, 1988 in Dublin, Ireland. She is an actress and writer best known for her Netflix specials ""In Trouble"" (2018) and ""Glitter Room"" (2021).
"
Tell me a bio of Matthew Perry,Matthew Perry," Matthew Weiner was born on February 19, 1965 in Newark, New Jersey. He is an American television producer and writer best known for creating the hit show ""Mad Men"".
"
Tell me a bio of Amr Shabana,Amr Shabana," Amr Shabana is an Egyptian musician, composer and percussionist. He was born in Cairo on July 10th 1954 to a family of musicians. His father, Ahmed Shabana, played the oud while his mother, Soad Hosny, sang.
"
Tell me a bio of Sage Stallone,Sage Stallone," Sage was born on April 10, 1988 in Los Angeles. She is the younger sister to actor Sylvester Stallone and half-sister to musician Frank Stallone. Her father is an American former boxer named John David Stallone.[1]
"
Tell me a bio of Abdulqawi Yusuf,Abdulqawi Yusuf," Abdulqawi Yusuf was born in 1871 in the village of Jabal Qarah, near Kabul. He received his early education at home and later attended the madrasa (Islamic school) of Sher Muhammad Khan Naderi. After completing his studies he became an imam (religious leader) for the Shi'ite community in Kabul.

In 1897, he traveled to India where he studied under various scholars and eventually settled in Karachi. There,"
Tell me a bio of Namita Gokhale,Namita Gokhale," Namita Gokhale is an Indian novelist, editor and publisher. She was born in Kolkata on August 25, 1954 to Suresh Chandra Sen Gupta (1924–2013), who worked as a professor at the University of Calcutta.[1] Her mother's name was Indira Sen Gupta (née Sharma).[2][3]
"
Tell me a bio of Henryk Wieniawski,Henryk Wieniawski," Henryk Wieniawski (Polish: [ˈxɛnʲɔf we̯niˈaʊskʲi]; French: Henri Wieniawski; Polish pronunciation: ​[ˈvjɛnwjaˈwaks] (listen); 7 March 1837 – 11 July 1861) was a Polish violinist and composer. He is considered one of the most important representatives of the Romantic style in music,"
Tell me a bio of Heinrich Himmler,Heinrich Himmler," Heinrich Luitpold Himmler was born on July 14, 1900 in Munich. He joined the Nazi Party at age 17 and became an officer for the SS (Schutzstaffel) by 1933. In 1934 he was appointed commander of the Gestapo (Secret State Police). In 1936 he became Chief of All Concentration Camps and supervised the Holocaust which killed over 6 million Jews during World War II. After Hitler's suicide in 1945, Himmler committed suicide with his wife Marg"
Tell me a bio of Jan-Michael Gambill,Jan-Michael Gambill," Jan Michael Gambill is an American actor and voice actor. He has played many roles in anime, video games, and other media such as ""Dante"", the main character on Devil May Cry 5.
"
Tell me a bio of Muhammad Al-Hafiz,Muhammad Al-Hafiz," Muhammad al-Ḥāfīẓ (Arabic: محمد الحفيظ, romanized: Muḥammad Ḳhāfeẓ; also known as Ibn al-Muqaffaʿ) was an Arab polymath and scholar who lived in the 11th century. He is considered one of the greatest classical scholars of his time.[1][2]
"
"Tell me a bio of Tracy Somerset, Duchess of Beaufort","Tracy Somerset, Duchess of Beaufort"," Dame Tracy Somerset, Countess de la Zouche d'Adelaunt (Tracy Anne Somerset, DBE) is an English aristocrat and author. She was the second wife of Henry Somerset, 14th Duke of Beaufort from 1980 to his death in 2017.[1]
"
Tell me a bio of Josh Mansour,Josh Mansour," Josh Mansour is an Australian professional cricket player. He plays as a fast bowler for the Melbourne Renegades in Australia's Big Bash League (BBL).

Mansour made his debut for Victoria at age 16 and has represented Australia at Under-19 level, playing in the 2011 World Cup.[1] In 2014 he was named in Australia A's squad to play New Zealand A but did not receive a call up for the Test or ODI series due to injury. The following"
Tell me a bio of Carlos P. Romulo,Carlos P. Romulo," Carlos P. Romulo was born in the Philippines on October 17, 1895 and passed away on February 25, 1985. He served as the Philippine Ambassador to Japan from 1950-1953 during which time he helped secure financial aid for postwar reconstruction efforts in his country. In addition to his diplomatic work, Romulo also wrote numerous books about politics, history, and culture in the Philippines.
"
Tell me a bio of Kubota Beisen,Kubota Beisen," Kubota Beisen (1881-1928) was the founder of one of Japan's largest agricultural machinery manufacturers. He was born in Saga Prefecture, Kyushu and studied at Tokyo Imperial University before joining the Ministry of Agriculture and Commerce as an engineer.

In 1909 he founded the Kubota Shokubai Seisakujo Company with his brother Kunihiko to produce tractors for the Japanese military. The company grew rapidly and soon began producing other types of farm equipment"
Tell me a bio of Arthur Ewert,Arthur Ewert," Arthur Ewert is an American software engineer who has worked on the Rust programming language since its inception. He was one of the core contributors to the Rust compiler, and he continues to work closely with the Rust community as a maintainer for several packages in the Rust ecosystem.
"
Tell me a bio of John Morris (curler),John Morris (curler)," John Morris is an American curling athlete. He was born in Houston, Texas on April 11th 1974 and began playing the sport at age 13.

He has represented the United States internationally since 2001 and won his first World Championship in 2005. In 2006 he became the youngest man to win the Scott Tournament of Hearts when he defeated Canada's Kevin Martin 8-7 in the final. Since then he has gone on to win two more Scotties Trophies and one Brier.
"
Tell me a bio of Matt Hunter (singer),Matt Hunter (singer)," Matthew ""Matt"" Hunter is an American singer-songwriter and musician. He was born in San Francisco, California on March 29th, 1980.

Hunter grew up listening to the music of his father's favorite band - The Doobie Brothers. His interest in music led him to learn how to play guitar at age 13. By 16 years old he had started playing gigs around the Bay Area with local bands such as Dirty Work and Sleaze. At 19 years old"
Tell me a bio of Ivan Toms,Ivan Toms," Ivan Toms was born in Riga, Latvia on February 20th, 1969. He attended the University of Latvia and received his Ph.D. degree in computer science from the same university in 1994.
"
Tell me a bio of Salome Maswime,Salome Maswime," Salome Maswime is a South African scientist who has been working in the field of genetics and genomics for more than 20 years. She was born on March 3, 1980, in Mthatha, Eastern Cape Province, South Africa.

Maswime earned her Bachelor's degree in Biomedical Science from the University of Fort Hare in 2004. She then went on to complete her Master's degree in Human Genetics at the same university in 2007. During this time, she also"
Tell me a bio of Flavio Méndez Santiago,Flavio Méndez Santiago," Flávio Menéndez Santiago (born June 13, 1963) is an Argentine lawyer and politician who served as the Governor of Buenos Aires from 2003 to 2007. He was elected on December 22, 2002 in the first round with 51% of the votes against his opponent Ricardo López Murphy.[1]
"
Tell me a bio of Lokesh Kanagaraj,Lokesh Kanagaraj," Lokesh is an Indian film director and screenwriter. He was born on 10 April 1984 in Chennai, Tamil Nadu. He started his career as assistant to Mani Ratnam during the filming of Kadal (2013). In 2015 he directed his first short film ""Kuttram Kadithal"" which won several awards at various international festivals including Thessaloniki International Film Festival. His debut feature film as a writer-director titled Vikrambai got released in 2017"
