prompt,response,atoms,hallucinated atoms
Tell me a bio of Suthida," 

Suthida Tidjai is the queen consort of King Maha Vajiralongkorn of Thailand. She was born on June 3, 1978, in Bangkok, Thailand. Before becoming queen, she served as a senior officer in the Thai military and held various positions within the royal household.

Suthida's early life is not well-documented, but it is known that she comes from a middle-class family. She graduated from the Assumption University in Bangkok with a degree in communication arts.

In 2010, Suthida joined the Thai military and quickly rose through the ranks. She became a","| Suthida Tidjai is a person.	True |
| Suthida Tidjai is the queen consort.	True |
| Suthida Tidjai is the queen consort of King Maha Vajiralongkorn.	True |
| King Maha Vajiralongkorn is a king.	True |
| King Maha Vajiralongkorn is the King of Thailand.	True |
| She was born on June 3, 1978.	True |
| She was born in Bangkok.	False |
| She was born in Thailand.	True |
| She served as a senior officer in the Thai military.	True |
| She held various positions within the royal household.	True |
| She became queen.	True |
| Suthida's early life is not well-documented.	False |
| It is known that Suthida comes from a middle-class family.	False |
| She graduated from Assumption University.	True |
| Assumption University is located in Bangkok.	True |
| She graduated with a degree in communication arts.	True |
| In 2010, Suthida joined the Thai military.	True |
| Suthida quickly rose through the ranks.	True |
","| She was born in Bangkok. |
| Suthida's early life is not well-documented. |
| It is known that Suthida comes from a middle-class family. |
"
Tell me a bio of Miguel Ángel Félix Gallardo," 

Miguel Ángel Félix Gallardo, also known as ""El Padrino"" (The Godfather), is a Mexican drug lord and the founder of the Guadalajara Cartel. He was born on January 8, 1946, in Culiacán, Sinaloa, Mexico.

Gallardo's early life was marked by poverty and violence. His father was a farmer who struggled to provide for his family, and Gallardo had to drop out of school at a young age to work and support his family. He eventually turned to a life of crime, starting with small-time theft and gradually","| Miguel Ángel Félix Gallardo is a person.	True |
| Miguel Ángel Félix Gallardo is also known as ""El Padrino"" (The Godfather).	True |
| Miguel Ángel Félix Gallardo is a Mexican drug lord.	True |
| Miguel Ángel Félix Gallardo is the founder of the Guadalajara Cartel.	True |
| He was born on January 8, 1946.	True |
| He was born in Culiacán.	False |
| He was born in Sinaloa, Mexico.	True |
| Gallardo had an early life.	True |
| Gallardo's early life was marked by poverty.	True |
| Gallardo's early life was marked by violence.	True |
| His father was a farmer.	True |
| His father struggled to provide for his family.	True |
| Gallardo had to drop out of school.	False |
| Gallardo dropped out of school at a young age.	False |
| Gallardo dropped out of school to work.	False |
| Gallardo had to drop out of school to work.	False |
| Gallardo dropped out of school to support his family.	False |
| Gallardo had to drop out of school to support his family.	False |
| He turned to a life of crime.	True |
| He started with small-time theft.	False |
| He gradually escalated his criminal activities.	True |
","| He was born in Culiacán. |
| Gallardo had to drop out of school. |
| Gallardo dropped out of school at a young age. |
| Gallardo dropped out of school to work. |
| Gallardo had to drop out of school to work. |
| Gallardo dropped out of school to support his family. |
| Gallardo had to drop out of school to support his family. |
| He started with small-time theft. |
"
Tell me a bio of Iggy Azalea," 

Iggy Azalea is an Australian rapper, singer, songwriter, and model. Born Amethyst Amelia Kelly on June 7, 1990, in Sydney, Australia, she rose to fame in the early 2010s with her unique style and provocative lyrics.

Azalea moved to the United States at the age of 16 to pursue a career in hip-hop music. She adopted the stage name ""Iggy Azalea"" and began releasing mixtapes and singles online. Her debut single ""Pu$$y"" gained attention from music bloggers and critics, leading to her signing with Interscope Records","| Iggy Azalea is Australian.	True |
| Iggy Azalea is a rapper.	True |
| Iggy Azalea is a singer.	False |
| Iggy Azalea is a songwriter.	False |
| Iggy Azalea is a model.	True |
| She was born Amethyst Amelia Kelly.	True |
| She was born on June 7, 1990.	True |
| She was born in Sydney, Australia.	True |
| She rose to fame in the early 2010s.	True |
| She rose to fame with her unique style.	True |
| She rose to fame with her provocative lyrics.	True |
| Azalea moved to the United States.	True |
| Azalea moved to the United States at the age of 16.	True |
| Azalea moved to pursue a career in hip-hop music.	True |
| Azalea moved to pursue a career in hip-hop music at the age of 16.	True |
| She adopted the stage name ""Iggy Azalea"".	True |
| She began releasing mixtapes online.	True |
| She began releasing singles online.	True |
| Her debut single is ""Pu$$y"".	True |
| ""Pu$$y"" gained attention from music bloggers.	True |
| ""Pu$$y"" gained attention from music critics.	True |
| ""Pu$$y"" led to her signing with Interscope Records.	True |
| She signed with Interscope Records.	True |
","| Iggy Azalea is a singer. |
| Iggy Azalea is a songwriter. |
"
Tell me a bio of Fernando da Costa Novaes," 

Fernando da Costa Novaes is a Brazilian chess grandmaster. He was born on March 11, 1984, in Rio de Janeiro, Brazil.

Novaes learned to play chess at the age of 7 and quickly showed great talent for the game. He won several national youth championships in Brazil and represented his country in various international youth tournaments.

In 2000, Novaes became an International Master (IM) at the age of 16, which made him one of the youngest IMs in the world at that time. Three years later, he earned the title of Grandmaster (GM) in 2003","| The person's name is Fernando da Costa Novaes.	True |
| Fernando da Costa Novaes is Brazilian.	True |
| Fernando da Costa Novaes is a chess grandmaster.	False |
| He was born on March 11, 1984.	False |
| He was born in Rio de Janeiro.	False |
| He was born in Brazil.	True |
| Novaes learned to play chess.	False |
| Novaes learned to play chess at the age of 7.	False |
| Novaes quickly showed great talent for the game.	False |
| He won several national youth championships in Brazil.	False |
| He represented his country in international youth tournaments.	False |
| He represented his country in various international youth tournaments.	False |
| In 2000, Novaes became an International Master.	False |
| Novaes became an International Master at the age of 16.	False |
| Novaes became one of the youngest IMs in the world at that time.	False |
| Three years later, an event occurred.	False |
| He earned the title of Grandmaster (GM) in 2003.	False |
","| Fernando da Costa Novaes is a chess grandmaster. |
| He was born on March 11, 1984. |
| He was born in Rio de Janeiro. |
| Novaes learned to play chess. |
| Novaes learned to play chess at the age of 7. |
| Novaes quickly showed great talent for the game. |
| He won several national youth championships in Brazil. |
| He represented his country in international youth tournaments. |
| He represented his country in various international youth tournaments. |
| In 2000, Novaes became an International Master. |
| Novaes became an International Master at the age of 16. |
| Novaes became one of the youngest IMs in the world at that time. |
| Three years later, an event occurred. |
| He earned the title of Grandmaster (GM) in 2003. |
"
Tell me a bio of Jan Zamoyski," 

Jan Zamoyski (1542-1605) was a Polish nobleman, magnate, and statesman who played a significant role in the politics of the Polish-Lithuanian Commonwealth during the late 16th century. He is considered one of the most important figures in Polish history.

Early Life:
Zamoyski was born into a noble family in Skokówka, Poland. His father, Stanisław Zamoyski, was a voivode (governor) of Podolia, and his mother, Anna Herburt, came from a prominent noble family. Jan received an excellent education","| Jan Zamoyski lived from 1542 to 1605.	True |
| Jan Zamoyski was a Polish nobleman.	True |
| Jan Zamoyski was a magnate.	True |
| Jan Zamoyski was a statesman.	True |
| Jan Zamoyski played a significant role in the politics of the Polish-Lithuanian Commonwealth.	True |
| Jan Zamoyski's significant role was during the late 16th century.	True |
| He is considered.	True |
| He is considered one of the most important figures.	True |
| He is considered one of the most important figures in Polish history.	True |
| Zamoyski was born into a noble family.	True |
| Zamoyski was born in Skokówka.	False |
| Zamoyski was born in Poland.	True |
| His father's name was Stanisław Zamoyski.	True |
| His father was a voivode (governor) of Podolia.	True |
| His mother's name was Anna Herburt.	True |
| His mother came from a prominent noble family.	True |
| Jan received an education.	True |
| Jan received an excellent education.	True |
","| Zamoyski was born in Skokówka. |
"
Tell me a bio of Radhika Apte," 

Radhika Apte is an Indian actress who has made a significant impact in the film industry with her versatile performances. Here's a brief bio:

**Early Life and Education**

Radhika Apte was born on September 24, 1985, in Vellore, Tamil Nadu, India. She grew up in Pune, Maharashtra, where she completed her schooling from Fergusson College. Apte holds a degree in mathematics and economics.

**Career**

Apte began her acting career in the early 2000s, initially working in Marathi theatre and films. Her breakthrough role came in 2014 with the","| Radhika Apte is an actress.	True |
| Radhika Apte is Indian.	True |
| Radhika Apte has made an impact in the film industry.	True |
| Radhika Apte has made a significant impact in the film industry.	True |
| Radhika Apte is known for her versatile performances.	True |
| Early life	True |
| Education.	True |
| Radhika Apte was born on September 24, 1985.	False |
| Radhika Apte was born in Vellore.	True |
| Vellore is in Tamil Nadu.	True |
| Radhika Apte was born in Tamil Nadu, India.	True |
| She grew up in Pune, Maharashtra.	True |
| She completed her schooling.	False |
| She completed her schooling from Fergusson College.	False |
| Fergusson College is located in Pune, Maharashtra.	True |
| Apte holds a degree.	True |
| Apte holds a degree in mathematics.	True |
| Apte holds a degree in economics.	True |
| Apte began her acting career.	True |
| Apte began her acting career in the early 2000s.	False |
| Apte initially worked in Marathi theatre.	True |
| Apte initially worked in Marathi films.	True |
","| Radhika Apte was born on September 24, 1985. |
| She completed her schooling. |
| She completed her schooling from Fergusson College. |
| Apte began her acting career in the early 2000s. |
"
Tell me a bio of David Galloway (writer)," 

David Galloway is an American writer, best known for his novels and short stories that often explore themes of identity, morality, and the human condition. Born on November 19, 1937, in Syracuse, New York, Galloway grew up in a family of modest means and was raised by his mother after his father's early death.

Galloway's interest in writing began at an early age, and he went on to study English literature at Syracuse University. After graduating, he served in the United States Army during the Vietnam War era, although he did not see combat. This experience would later influence some of his","| David Galloway is an American.	True |
| David Galloway is a writer.	True |
| David Galloway is best known for his novels.	True |
| David Galloway is best known for his short stories.	False |
| His works often explore themes of identity.	True |
| His works often explore themes of morality.	False |
| His works often explore themes of the human condition.	True |
| Galloway was born on November 19, 1937.	False |
| Galloway was born in Syracuse, New York.	False |
| Galloway grew up in a family of modest means.	False |
| Galloway was raised by his mother.	False |
| Galloway's father died early in his life.	True |
| Galloway's interest in writing began at an early age.	True |
| Galloway studied English literature.	True |
| Galloway studied at Syracuse University.	False |
| He graduated.	True |
| He served in the United States Army.	True |
| He served in the United States Army during the Vietnam War era.	True |
| He did not see combat during his service in the United States Army.	True |
| He had an experience.	True |
| The experience would later influence some of his decisions/works.	True |
","| David Galloway is best known for his short stories. |
| His works often explore themes of morality. |
| Galloway was born on November 19, 1937. |
| Galloway was born in Syracuse, New York. |
| Galloway grew up in a family of modest means. |
| Galloway was raised by his mother. |
| Galloway studied at Syracuse University. |
"
Tell me a bio of Cheyenne Brando," 

Cheyenne Brando (1970-1995) was the daughter of Marlon Brando, the legendary American actor. Her life was marked by tragedy and turmoil, which ultimately led to her untimely death at the age of 25.

Born on May 20, 1970, in Tahiti, French Polynesia, Cheyenne was the result of a tumultuous relationship between Marlon Brando and his Guadeloupean girlfriend, Tarita Teriipaia. Despite her father's fame and wealth, Cheyenne's childhood was marred by instability and neglect.

In 1990","| Cheyenne Brando was born in 1970.	True |
| Cheyenne Brando died in 1995.	True |
| Cheyenne Brando was the daughter of Marlon Brando.	True |
| Marlon Brando was a legendary American actor.	True |
| Her life was marked by tragedy.	True |
| Her life was marked by turmoil.	True |
| Her life was marked by tragedy and turmoil.	True |
| Her death was untimely.	True |
| She died at the age of 25.	True |
| Cheyenne was born on May 20, 1970.	False |
| Cheyenne was born in Tahiti, French Polynesia.	True |
| Cheyenne was the result of a tumultuous relationship.	True |
| Marlon Brando had a tumultuous relationship.	True |
| Marlon Brando's girlfriend was Guadeloupean.	False |
| Marlon Brando's girlfriend's name was Tarita Teriipaia.	True |
| Cheyenne was the result of Marlon Brando's relationship with Tarita Teriipaia.	True |
| Cheyenne's father was famous.	True |
| Cheyenne's father was wealthy.	True |
| Cheyenne's childhood was marred by instability.	True |
| Cheyenne's childhood was marred by neglect.	True |
","| Cheyenne was born on May 20, 1970. |
| Marlon Brando's girlfriend was Guadeloupean. |
"
Tell me a bio of Mihai Eminescu," 

Mihai Eminescu (1850-1889) was a Romanian poet, novelist, and journalist, widely regarded as the national poet of Romania. He is considered one of the most important figures in Romanian literature and culture.

Early Life:
Eminescu was born on January 15, 1850, in Ipotești, Moldavia (now part of Romania). His father, Gheorghe Eminovici, was a Moldavian nobleman, and his mother, Raluca Iurăscu, was from a family of landowners. Eminescu's early education took place at","| Mihai Eminescu lived from 1850 to 1889.	True |
| Mihai Eminescu was Romanian.	True |
| Mihai Eminescu was a poet.	True |
| Mihai Eminescu was a novelist.	False |
| Mihai Eminescu was a journalist.	True |
| Mihai Eminescu is widely regarded as the national poet of Romania.	True |
| He is considered important.	True |
| He is considered important in Romanian literature.	True |
| He is considered important in Romanian culture.	True |
| He is considered one of the most important figures.	True |
| Eminescu was born on January 15, 1850.	True |
| Eminescu was born in Ipotești.	True |
| Ipotești is in Moldavia.	True |
| Moldavia is now part of Romania.	True |
| His father was Gheorghe Eminovici.	True |
| Gheorghe Eminovici was a Moldavian nobleman.	True |
| His mother was Raluca Iurăscu.	True |
| Raluca Iurăscu was from a family of landowners.	False |
","| Mihai Eminescu was a novelist. |
| Raluca Iurăscu was from a family of landowners. |
"
Tell me a bio of John Atkinson Grimshaw," 

John Atkinson Grimshaw (1836-1893) was a British artist, known for his stunning and atmospheric paintings of urban landscapes, particularly at night. Born in Leeds, England, Grimshaw was largely self-taught as an artist, although he did receive some training from his uncle, a painter.

Grimshaw's early work focused on landscapes and seascapes, but he soon developed a fascination with the urban environment, particularly the effects of gas lighting on city streets. His nocturnal scenes, often depicting deserted streets, alleys, and canals, captured the eerie beauty of urban life during the Industrial Revolution.

","| John Atkinson Grimshaw was born in 1836 and died in 1893.	True |
| John Atkinson Grimshaw was a British artist.	True |
| John Atkinson Grimshaw was known for his stunning paintings.	True |
| John Atkinson Grimshaw was known for his atmospheric paintings.	True |
| John Atkinson Grimshaw painted urban landscapes.	True |
| John Atkinson Grimshaw's urban landscapes were particularly focused on night scenes.	True |
| Grimshaw was born in Leeds, England.	True |
| Grimshaw was largely self-taught as an artist.	True |
| Grimshaw received some training from his uncle.	False |
| Grimshaw's uncle was a painter.	True |
| Grimshaw's early work focused on landscapes.	True |
| Grimshaw's early work focused on seascapes.	False |
| Grimshaw soon developed a fascination with the urban environment.	True |
| Grimshaw developed a fascination with the effects of gas lighting on city streets.	True |
| Grimshaw's fascination was particularly with the effects of gas lighting on city streets.	True |
| His nocturnal scenes captured urban life during the Industrial Revolution.	True |
| His nocturnal scenes often depicted deserted streets.	True |
| His nocturnal scenes often depicted alleys.	True |
| His nocturnal scenes often depicted canals.	False |
| The scenes captured the eerie beauty of urban life during the Industrial Revolution.	True |
","| Grimshaw received some training from his uncle. |
| Grimshaw's early work focused on seascapes. |
| His nocturnal scenes often depicted canals. |
"
